Objekt_id;Phasen_id;Kurzbezeichnung;Jahr_Beginn;Jahr_Ende;Besonderheitenbeschreibung;Bemerkungen;eor;                                                                                                   
         201;         1;Dauergrünland: Ergrünen                                                                                                                                         ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         103;         3;Eberesche: Austrieb                                                                                                                                             ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         112;         3;Hänge-Birke: Austrieb                                                                                                                                           ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         122;         3;Rosskastanie: Austrieb                                                                                                                                          ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         310;         3;Apfel: Austrieb                                                                                                                                                 ;       1991;          ;Das zugehörige Pflückreifedatum wurde in der Datenprüfung als falsch deklariert, weil der Termin nicht zur Reifegruppe "früh" oder "spät" passt oder es wird vom Beobachter eine mittlere Sorte benannt.                                                                                                                                                                                                                                                                                                            ;Die Zuordnung der Daten zu ph_objekt_id 310 erfolgt im Rahmen der Datenkorrektur (QB 2)                                                                         ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         311;         3;Apfel (früh): Austrieb                                                                                                                                          ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         313;         3;Apfel (spät): Austrieb                                                                                                                                          ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         350;         3;Stachelbeere: Austrieb                                                                                                                                          ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         103;         4;Eberesche: Blattentfaltung                                                                                                                                      ;       1991;      1991;ab 1991 neu im Beobachtungsprogramm, für Ostdeutschland konnte die Umstellung auf das gesamtdeutsche Programm erst 1992 umgesetzt werden, daher sind für viele ostdeutschen Stationen keine Daten archiviert                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
         123;         4;Rotbuche: Blattentfaltung                                                                                                                                       ;       1982;      1991;in Ostdeutschland nicht im Beobachtungsprogramm, Eintrittsdaten, die von den Beobachtern trotzdem erhoben worden sind, können jedoch nachgemeldet werden, daher sind für einzelne Beobachtungsorte/ -jahre Daten archiviert                                                                                                                                                                                                                                                                                         ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
