Objekt_id;Objekt;Phasen_id;Phase;Phasendefinition;BBCH_Code;Hinweis BBCH;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
         101;Beifuß                                                                          ;         5;Blüte Beginn                            ;die ersten Blüten am Grund des Haupttriebs und der Seitenäste sind aufgebrochen und setzen Pollen frei                                                                                                  ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         102;Busch-Windröschen                                                               ;         5;Blüte Beginn                            ;die ersten weißen Blütensterne zeigen sich                                                                                                                                                              ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         103;Eberesche                                                                       ;         3;Austrieb Beginn                         ;die ersten braunschwarzen Knospen, die eine länglich-kegelige Form haben, platzen auf und lassen aus der Nähe das erste Blattgrün erkennen                                                              ;             7;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         103;Eberesche                                                                       ;        62;erste reife Früchte                     ;an der am weitesten ausgereiften Dolde haben alle Einzelfrüchte die höchste Farbintensität erreicht                                                                                                     ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         103;Eberesche                                                                       ;         5;Blüte Beginn                            ;an einigen der filzig behaarten Doldenrispen öffnen sich die ersten Blüten                                                                                                                              ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         103;Eberesche                                                                       ;        32;herbstlicher Blattfall                  ;etwa die Hälfte aller Blätter sind abgefallen                                                                                                                                                           ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         103;Eberesche                                                                       ;         4;Blattentfaltung Beginn                  ;die Fiederblättchen der ersten Blätter haben sich vollständig entfaltet, wobei die volle Größe noch nicht erreicht ist                                                                                  ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         104;Esche                                                                           ;         4;Blattentfaltung Beginn                  ;die ersten Blätter der Esche haben sich mit ihren Fiederblättchen völlig ausgebreitet                                                                                                                   ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         104;Esche                                                                           ;         5;Blüte Beginn                            ;die ersten purpurroten Staubbeutel von männlichen oder zwittrigen Blüten brechen auf und geben Pollen ab                                                                                                ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         105;Europäische Lärche                                                              ;         5;Blüte Beginn                            ;die knapp ein Zentimeter großen männlichen Blütenstände, die abwärts gerichtet sind, gelb gefärbt haben und Blütenstaub abgeben                                                                         ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         105;Europäische Lärche                                                              ;        61;Nadelentfaltung Beginn                  ;die ersten Nadelbüschel lockern sich nach meist deutlicher Streckung auf und beginnen sich an der Spitze zu spreizen                                                                                    ;            10;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         105;Europäische Lärche                                                              ;        63;herbstliche Nadelverfärbung             ;etwa die Hälfte der Nadeln des Beobachtungsbaumes hat sich goldgelb verfärbt                                                                                                                            ;            94;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         105;Europäische Lärche                                                              ;        64;herbstlicher Nadelfall                  ;etwa die Hälfte der Nadeln ist abgeworfen                                                                                                                                                               ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         106;Falscher Jasmin                                                                 ;         5;Blüte Beginn                            ;etwa die Hälfte der vorhandenen Blüten ist geöffnet und gibt Blütenstaub ab                                                                                                                             ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         107;Fichte                                                                          ;         5;Blüte Beginn                            ;die Blüten haben sich geöffnet und geben Blütenstaub ab                                                                                                                                                 ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         107;Fichte                                                                          ;         8;Maitrieb                                ;die ersten Knospen platzen auf und die Hüllen lösen sich vom Knospenrand ab                                                                                                                             ;            10;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         108;Flieder                                                                         ;         5;Blüte Beginn                            ;die untersten Blüten an mehreren Rispen des Fliederstrauches beginnen sich zu öffnen                                                                                                                    ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         109;Forsythie                                                                       ;         5;Blüte Beginn                            ;die ersten Blüten an einem freistehenden Forsythienstrauch sind vollständig geöffnet                                                                                                                    ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         110;Goldregen                                                                       ;         5;Blüte Beginn                            ;die ersten Blüten haben sich vollständig geöffnet, so dass die Blütenblätter zwischen den entfalteten Blütenblättern sichtbar sind und Blütenstaub abgeben                                              ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         112;Hänge-Birke                                                                     ;        32;herbstlicher Blattfall                  ;etwa die Hälfte der Blätter ist abgefallen                                                                                                                                                              ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
