Objekt_id;Objekt;Phasen_id;Phase;Phasendefinition;BBCH_Code;Hinweis BBCH;eor;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
         101;Beifuß                                                                          ;         5;Blüte Beginn                            ;die ersten Blüten am Grund des Haupttriebs und der Seitenäste sind aufgebrochen und setzen Pollen frei                                                                                                  ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         104;Esche                                                                           ;         5;Blüte Beginn                            ;die ersten purpurroten Staubbeutel von männlichen oder zwittrigen Blüten brechen auf und geben Pollen ab (an mind. 3 Stellen des Beobachtungsobjektes)                                                  ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         109;Forsythie                                                                       ;         5;Blüte Beginn                            ;die ersten Blüten an einem freistehenden Forsythienstrauch sind vollständig geöffnet (an mind. 3 Stellen des Beobachtungsobjektes)                                                                      ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         111;Birke (alle Arten)                                                              ;        41;Blüte Ende im Beobachtungsgebiet        ;Ende des Stäubens der spätesten Birke im Beobachtungsgebiet                                                                                                                                             ;              ;kein BBCH-Code vorhanden                                                                                                                                        ;eor;                                                                                                                                                                                                                                                                                 
         111;Birke (alle Arten)                                                              ;         5;Blüte Beginn                            ;die ersten der voll ausgestreckten männlichen Kätzchen beginnen zu stäuben (an mind. 3 Stellen des Beobachtungsobjektes)                                                                                ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         112;Hänge-Birke                                                                     ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich bis zum Stiel aus der Knospe herausgeschoben und vollständig entfaltet (an mind. 3 Stellen des Beobachtungsobjektes)                                                      ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         112;Hänge-Birke                                                                     ;         5;Blüte Beginn                            ;die ersten der voll ausgestreckten männlichen Kätzchen beginnen zu stäuben (an mind. 3 Stellen des Beobachtungsobjektes)                                                                                ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         113;Hasel                                                                           ;         5;Blüte Beginn                            ;die ersten Kätzchen haben sich vollständig gestreckt und geben gelben Blütenstaub ab (an mind. 3 Stellen des Beobachtungsobjektes)                                                                      ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         116;Huflattich                                                                      ;         5;Blüte Beginn                            ;die ersten der markanten, gelben Blütenkörbe haben sich völlig geöffnet                                                                                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         120;Löwenzahn                                                                       ;         5;Blüte Beginn                            ;die ersten Blütenkörbe haben sich vollständig entfaltet                                                                                                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         121;Robinie                                                                         ;         5;Blüte Beginn                            ;an den sich allmählich nach unten biegenden Blütentrauben öffnen sich die ersten Blüten (an mind. 3 Stellen des Beobachtungsobjektes)                                                                   ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         122;Rosskastanie                                                                    ;        62;erste reife Früchte                     ;die ersten ausgereiften, braunen, mattglänzenden Kastanien mit ihrem gelblichgrauen Nabelfleck liegen am Boden                                                                                          ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;        62;erste reife Früchte                     ;die Fruchthülle platzt auf und der Samen fällt ab                                                                                                                                                       ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;         5;Blüte Beginn                            ;die Blüten haben sich geöffnet und geben Blütenstaub ab (an mind. 3 Stellen des Beobachtungsobjektes)                                                                                                   ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;         5;Blüte Beginn                            ;die Blüten haben sich geöffnet und geben Blütenstaub ab (an mind. 3 Stellen des Beobachtungsobjektes)                                                                                                   ;              ;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;        31;herbstliche Blattverfärbung             ;das Laub des Beobachtungsbaumes hat sich etwa zur Hälfte herbstlich verfärbt                                                                                                                            ;            94;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;         4;Blattentfaltung Beginn                  ;die ersten Blätter haben sich vollständig aus der Knospe herausgeschoben und bis zum Stiel entfaltet (an mind. 3 Stellen des Beobachtungsobjektes)                                                      ;            11;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         123;Rotbuche                                                                        ;        32;herbstlicher Blattfall                  ;etwa die Hälfte der Blätter des Beobachtungsbaumes ist abgefallen                                                                                                                                       ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         124;Sal-Weide                                                                       ;         5;Blüte Beginn                            ;die ersten Blütenkätzchen haben sich soweit gestreckt, dass die geöffneten gelben Staubbeutel zu sehen sind und bei der Berührung Staub abgeben (an mind. 3 Stellen des Beobachtungsobjektes)           ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         125;Schlehe                                                                         ;         5;Blüte Beginn                            ;die ersten kleinen und wohlriechenden Blüten sind vollständig geöffnet und die Staubbeutel sind zu sehen (an mind. 3 Stellen des Beobachtungsobjektes)                                                  ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         127;Schneeglöckchen                                                                 ;         5;Blüte Beginn                            ;die ersten Schneeglöckchen spreizen ihre äußeren Blütenblätter ab und innerhalb der inneren Blütenblätter sind die Staubgefäße zu sehen                                                                 ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         128;Schwarz-Erle                                                                    ;         5;Blüte Beginn                            ;die blauvioletten Deckschuppen der männlichen Kätzchen sind soweit auseinandergerückt, dass bei Bewegung Blütenstaub freigegeben wird (an mind. 3 Stellen des Beobachtungsobjektes)                     ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         129;Schwarzer Holunder                                                              ;         5;Blüte Beginn                            ;an der am weitesten entwickelten Trugdolde ist etwa  die Hälfte der Einzelblüten völlig geöffnet                                                                                                        ;            60;definierter Beobachtungszeitpunkt der Phase könnte etwas später sein, hohe Übereinstimmung zwischen Phase und zugeordnetem BBCH-Mikrostadium                    ;eor;                                                                                                                                                                                                                                                                                 
         129;Schwarzer Holunder                                                              ;        62;erste reife Früchte                     ;alle Früchte der am weitesten ausgereiften Trugdolde sind endgültig blauschwarz geworden                                                                                                                ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         130;Sommer-Linde                                                                    ;         5;Blüte Beginn                            ;die ersten Einzelblüten an den Trugdolden haben sich vollständig geöffnet und strömen einen starken Duft aus (an mind. 3 Stellen des Beobachtungsobjektes)                                              ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;        32;herbstlicher Blattfall                  ;etwa die Hälfte der Blätter des Beobachtungsbaumes ist abgefallen                                                                                                                                       ;            95;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;        62;erste reife Früchte                     ;die ersten ausgereiften Eicheln mit den charakteristischen Längsstreifen liegen am Boden                                                                                                                ;            86;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         132;Stiel-Eiche                                                                     ;        31;herbstliche Blattverfärbung             ;das Laub des Beobachtungsbaumes hat sich etwa zur Hälfte herbstlich verfärbt                                                                                                                            ;            94;Kennziffer wurde ergänzend definiert, sie entspricht den BBCH-Richtlinien (bitte bei Veröffentlichungen beachten)                                               ;eor;                                                                                                                                                                                                                                                                                 
         135;Wiesen-Fuchsschwanz                                                             ;         6;Vollblüte                               ;an etwa der Hälfte der Ährenripsen hängen die Staubbeutel heraus und geben bei Berührung Blütenstaub ab                                                                                                 ;            65;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         135;Wiesen-Fuchsschwanz                                                             ;         5;Blüte Beginn                            ;die ersten Blüten öffnen sich und die violetten Staubbeutel werden sichtbar                                                                                                                             ;            60;                                                                                                                                                                ;eor;                                                                                                                                                                                                                                                                                 
         139;Erle (alle Arten)                                                               ;         5;Blüte Beginn                            ;die blauvioletten Deckschuppen der männlichen Kätzchen sind soweit auseinandergerückt, dass bei Bewegung Blütenstaub freigegeben wird (an mind. 3 Stellen des Beobachtungsobjektes)                     ;            60;nur männliche Blüten                                                                                                                                            ;eor;                                                                                                                                                                                                                                                                                 
         139;Erle (alle Arten)                                                               ;        41;Blüte Ende im Beobachtungsgebiet        ;Ende des Stäubens der spätesten Erle im Beobachtungsgebiet                                                                                                                                              ;              ;kein BBCH-Code vorhanden                                                                                                                                        ;eor;                                                                                                                                                                                                                                                                                 

