Stations_id; Referenzjahr; Qualitaetsniveau; Objekt_id; Phase_id; Eintrittsdatum;Eintrittsdatum_QB; Jultag;eor;
         140;          2016;             10;              123;              4;       20160503;                1;    123;eor;                                                                            
         140;          2016;             10;              123;             31;       20161108;                1;    312;eor;                                                                            
         140;          2016;             10;              123;             32;       20161112;                1;    316;eor;                                                                            
         140;          2017;             10;              123;              4;       20170416;                1;    106;eor;                                                                            
         140;          2017;             10;              123;             31;       20171016;                1;    289;eor;                                                                            
         140;          2017;             10;              123;             32;       20171023;                1;    296;eor;                                                                            
         140;          2018;             10;              123;              4;       20180417;                1;    107;eor;                                                                            
         140;          2018;             10;              123;             31;       20181007;                1;    280;eor;                                                                            
         140;          2018;             10;              123;             32;       20181030;                1;    303;eor;                                                                            
         164;          2016;             10;              123;              4;       20160429;                1;    119;eor;                                                                            
         164;          2016;             10;              123;             31;       20161028;                1;    301;eor;                                                                            
         164;          2016;             10;              123;             32;       20161110;                1;    314;eor;                                                                            
         164;          2018;             10;              123;              4;       20180419;                1;    109;eor;                                                                            
         164;          2018;             10;              123;             31;       20181015;                1;    288;eor;                                                                            
         164;          2018;             10;              123;             32;       20181109;                1;    313;eor;                                                                            
         164;          2019;              1;              123;              4;       20190418;                1;    108;eor;                                                                            
         183;          2016;             10;              123;              4;       20160508;                1;    128;eor;                                                                            
         183;          2016;             10;              123;             31;       20161019;                1;    292;eor;                                                                            
         183;          2016;             10;              123;             32;       20161103;                1;    307;eor;                                                                            
         183;          2017;             10;              123;              4;       20170429;                1;    119;eor;                                                                            
         183;          2017;             10;              123;             31;       20170924;                1;    267;eor;                                                                            
         183;          2017;             10;              123;             32;       20171025;                1;    298;eor;                                                                            
         183;          2018;             10;              123;              4;       20180503;                1;    123;eor;                                                                            
         183;          2018;             10;              123;             31;       20181001;                1;    274;eor;                                                                            
         183;          2018;             10;              123;             32;       20181021;                1;    294;eor;                                                                            
         198;          2016;             10;              123;             31;       20161030;                1;    303;eor;                                                                            
         198;          2016;             10;              123;             32;       20161103;                1;    307;eor;                                                                            
         198;          2017;             10;              123;              4;       20170501;                1;    121;eor;                                                                            
         198;          2017;             10;              123;             31;       20171010;                1;    283;eor;                                                                            
