Stations_id; Referenzjahr; Qualitaetsniveau; Objekt_id; Phase_id; Eintrittsdatum;Eintrittsdatum_QB; Jultag;eor;
         140;          2016;              7;              123;              4;       20160424;                1;    114;eor;                                                                            
         140;          2016;              7;              123;             31;       20161108;                1;    312;eor;                                                                            
         140;          2017;              7;              123;              4;       20170416;                1;    106;eor;                                                                            
         140;          2017;              7;              123;             31;       20171016;                1;    289;eor;                                                                            
         140;          2017;              7;              123;             32;       20171023;                1;    296;eor;                                                                            
         140;          2018;              7;              123;              4;       20180417;                1;    107;eor;                                                                            
         140;          2018;              7;              123;             31;       20181007;                1;    280;eor;                                                                            
         140;          2018;              7;              123;             32;       20181030;                1;    303;eor;                                                                            
         140;          2019;              1;              123;              4;       20190416;                1;    106;eor;                                                                            
         164;          2016;              7;              123;              4;       20160429;                1;    119;eor;                                                                            
         164;          2016;              7;              123;             31;       20161028;                1;    301;eor;                                                                            
         164;          2016;              7;              123;             32;       20161110;                1;    314;eor;                                                                            
         164;          2018;              7;              123;              4;       20180419;                1;    109;eor;                                                                            
         164;          2018;              7;              123;             31;       20181015;                1;    288;eor;                                                                            
         164;          2018;              7;              123;             32;       20181109;                1;    313;eor;                                                                            
         164;          2019;              1;              123;              4;       20190418;                1;    108;eor;                                                                            
         183;          2016;              7;              123;              4;       20160506;                1;    126;eor;                                                                            
         183;          2016;              7;              123;             31;       20161019;                1;    292;eor;                                                                            
         183;          2016;              7;              123;             32;       20161103;                1;    307;eor;                                                                            
         183;          2017;              7;              123;              4;       20170429;                1;    119;eor;                                                                            
         183;          2017;              7;              123;             31;       20170924;                1;    267;eor;                                                                            
         183;          2017;              7;              123;             32;       20171025;                1;    298;eor;                                                                            
         183;          2018;              7;              123;              4;       20180502;                1;    122;eor;                                                                            
         183;          2018;              7;              123;             31;       20181001;                1;    274;eor;                                                                            
         183;          2018;              7;              123;             32;       20181021;                1;    294;eor;                                                                            
         198;          2016;              7;              123;             31;       20161030;                1;    303;eor;                                                                            
         198;          2016;              7;              123;             32;       20161103;                1;    307;eor;                                                                            
         198;          2017;              7;              123;              4;       20170501;                1;    121;eor;                                                                            
         198;          2017;              7;              123;             31;       20171010;                1;    283;eor;                                                                            
         198;          2017;              7;              123;             32;       20171029;                1;    302;eor;                                                                            
         596;          2016;              7;              123;             31;       20161010;                1;    283;eor;                                                                            
         596;          2016;              7;              123;             32;       20161028;                1;    301;eor;                                                                            
         596;          2017;              7;              123;              4;       20170410;                1;    100;eor;                                                                            
         596;          2017;              7;              123;             31;       20171002;                1;    275;eor;                                                                            
         596;          2017;              7;              123;             32;       20171016;                1;    289;eor;                                                                            
         596;          2018;              7;              123;              4;       20180422;                1;    112;eor;                                                                            
         596;          2018;              7;              123;             31;       20181008;                1;    281;eor;                                                                            
         596;          2018;              7;              123;             32;       20181027;                1;    300;eor;                                                                            
         596;          2019;              1;              123;              4;       20190412;                1;    102;eor;                                                                            
         662;          2016;              7;              123;             31;       20161014;                1;    287;eor;                                                                            
         662;          2016;              7;              123;             32;       20161102;                1;    306;eor;                                                                            
         662;          2017;              7;              123;              4;       20170430;                1;    120;eor;                                                                            
         662;          2017;              7;              123;             31;       20170928;                1;    271;eor;                                                                            
         662;          2017;              7;              123;             32;       20171023;                1;    296;eor;                                                                            
         662;          2018;              7;              123;              4;       20180420;                1;    110;eor;                                                                            
         662;          2018;              7;              123;             31;       20181008;                1;    281;eor;                                                                            
         662;          2018;              7;              123;             32;       20181024;                1;    297;eor;                                                                            
         662;          2019;              1;              123;              4;       20190418;                1;    108;eor;                                                                            
         853;          2016;              7;              123;              4;       20160502;                1;    122;eor;                                                                            
         853;          2016;              7;              123;             31;       20161101;                1;    305;eor;                                                                            
         853;          2016;              7;              123;             32;       20161129;                1;    333;eor;                                                                            
         853;          2017;              7;              123;              4;       20170419;                1;    109;eor;                                                                            
         853;          2017;              7;              123;             31;       20171016;                1;    289;eor;                                                                            
         853;          2017;              7;              123;             32;       20171123;                1;    327;eor;                                                                            
         853;          2018;              7;              123;              4;       20180418;                1;    108;eor;                                                                            
         853;          2018;              7;              123;             31;       20181015;                1;    288;eor;                                                                            
         853;          2019;              1;              123;              4;       20190417;                1;    107;eor;                                                                            
        1412;          2016;              7;              123;             32;       20161018;                1;    291;eor;                                                                            
        1412;          2017;              7;              123;              4;       20170410;                1;    100;eor;                                                                            
        1412;          2017;              7;              123;             31;       20170929;                1;    272;eor;                                                                            
        1412;          2017;              7;              123;             32;       20171016;                1;    289;eor;                                                                            
        1532;          2016;              7;              123;              4;       20160429;                1;    119;eor;                                                                            
        1532;          2016;              7;              123;             31;       20161014;                1;    287;eor;                                                                            
        1532;          2017;              7;              123;              4;       20170412;                1;    102;eor;                                                                            
        1532;          2017;              7;              123;             31;       20171023;                1;    296;eor;                                                                            
        1532;          2018;              7;              123;              4;       20180419;                1;    109;eor;                                                                            
        1532;          2019;              1;              123;              4;       20190421;                1;    111;eor;                                                                            
        1544;          2016;              7;              123;             31;       20161103;                1;    307;eor;                                                                            
        1544;          2017;              7;              123;              4;       20170419;                1;    109;eor;                                                                            
        1544;          2017;              7;              123;             31;       20171013;                1;    286;eor;                                                                            
        1544;          2017;              7;              123;             32;       20171111;                1;    315;eor;                                                                            
        1544;          2018;              7;              123;              4;       20180419;                1;    109;eor;                                                                            
        1544;          2018;              7;              123;             31;       20181020;                1;    293;eor;                                                                            
        1544;          2018;              7;              123;             32;       20181107;                1;    311;eor;                                                                            
        1544;          2019;              1;              123;              4;       20190415;                1;    105;eor;                                                                            
        1580;          2016;              7;              123;             31;       20161025;                1;    298;eor;                                                                            
        1580;          2016;              7;              123;             32;       20161106;                1;    310;eor;                                                                            
        1580;          2017;              7;              123;              4;       20170408;                1;     98;eor;                                                                            
        1580;          2017;              7;              123;             31;       20171019;                1;    292;eor;                                                                            
        1580;          2017;              7;              123;             32;       20171105;                1;    309;eor;                                                                            
        1580;          2018;              7;              123;              4;       20180413;                1;    103;eor;                                                                            
        1580;          2018;              7;              123;             31;       20181101;                1;    305;eor;                                                                            
        1580;          2018;              7;              123;             32;       20181111;                1;    315;eor;                                                                            
        1580;          2019;              1;              123;              4;       20190418;                1;    108;eor;                                                                            
        1612;          2016;              7;              123;             31;       20161020;                1;    293;eor;                                                                            
        1612;          2016;              7;              123;             32;       20161102;                1;    306;eor;                                                                            
        1612;          2017;              7;              123;              4;       20170430;                1;    120;eor;                                                                            
        1612;          2017;              7;              123;             31;       20171002;                1;    275;eor;                                                                            
        1612;          2017;              7;              123;             32;       20171015;                1;    288;eor;                                                                            
        1684;          2016;              7;              123;             31;       20161004;                1;    277;eor;                                                                            
        1684;          2016;              7;              123;             32;       20161109;                1;    313;eor;                                                                            
        1684;          2017;              7;              123;              4;       20170425;                1;    115;eor;                                                                            
        1684;          2017;              7;              123;             31;       20170929;                1;    272;eor;                                                                            
        1684;          2018;              7;              123;              4;       20180423;                1;    113;eor;                                                                            
        1684;          2018;              7;              123;             31;       20181003;                1;    276;eor;                                                                            
        1684;          2018;              7;              123;             32;       20181027;                1;    300;eor;                                                                            
        1780;          2016;              7;              123;              4;       20160507;                1;    127;eor;                                                                            
        1780;          2016;              7;              123;             31;       20161017;                1;    290;eor;                                                                            
        1780;          2016;              7;              123;             32;       20161028;                1;    301;eor;                                                                            
        1780;          2017;              7;              123;              4;       20170514;                1;    134;eor;                                                                            
        1780;          2017;              7;              123;             31;       20171014;                1;    287;eor;                                                                            
        1780;          2017;              7;              123;             32;       20171022;                1;    295;eor;                                                                            
        1780;          2018;              7;              123;              4;       20180420;                1;    110;eor;                                                                            
        1780;          2018;              7;              123;             31;       20181013;                1;    286;eor;                                                                            
        1780;          2018;              7;              123;             32;       20181019;                1;    292;eor;                                                                            
        1780;          2019;              1;              123;              4;       20190423;                1;    113;eor;                                                                            
        3015;          2017;              7;              123;              4;       20170401;                1;     91;eor;                                                                            
        3015;          2018;              7;              123;              4;       20180412;                1;    102;eor;                                                                            
        3023;          2019;              1;              123;              4;       20190418;                1;    108;eor;                                                                            
        3196;          2016;              7;              123;              4;       20160423;                1;    113;eor;                                                                            
        3196;          2016;              7;              123;             31;       20161018;                1;    291;eor;                                                                            
        3196;          2016;              7;              123;             32;       20161107;                1;    311;eor;                                                                            
        3196;          2017;              7;              123;              4;       20170422;                1;    112;eor;                                                                            
        3196;          2017;              7;              123;             31;       20171014;                1;    287;eor;                                                                            
        3196;          2017;              7;              123;             32;       20171103;                1;    307;eor;                                                                            
        3196;          2018;              7;              123;              4;       20180422;                1;    112;eor;                                                                            
        3196;          2018;              7;              123;             31;       20181015;                1;    288;eor;                                                                            
        3196;          2018;              7;              123;             32;       20181105;                1;    309;eor;                                                                            
        3196;          2019;              1;              123;              4;       20190417;                1;    107;eor;                                                                            
        3660;          2016;              7;              123;              4;       20160504;                1;    124;eor;                                                                            
        3660;          2016;              7;              123;             31;       20161025;                1;    298;eor;                                                                            
        3660;          2017;              7;              123;              4;       20170514;                1;    134;eor;                                                                            
        3660;          2017;              7;              123;             31;       20171015;                1;    288;eor;                                                                            
        3660;          2018;              7;              123;              4;       20180420;                1;    110;eor;                                                                            
        3660;          2019;              1;              123;              4;       20190424;                1;    114;eor;                                                                            
        4177;          2016;              7;              123;             31;       20161019;                1;    292;eor;                                                                            
        4177;          2016;              7;              123;             32;       20161105;                1;    309;eor;                                                                            
        4177;          2017;              7;              123;              4;       20170404;                1;     94;eor;                                                                            
